id,smiles,label_y,charge,number_atoms,heavy_atoms,free_energy_eV,y_pred
libe-501928,C.F.N.S,-4657.01239213601,0,6,4,-27942.07435281606,-4401.799
libe-501878,C.F.N.S,-4010.63645144968,0,9,4,-36095.72806304712,-4401.799
libe-501721,C.F.N.S,-4620.602485091679,0,7,4,-32344.217395641757,-4401.799
libe-501843,C.F.N.S,-4172.171158601194,0,8,4,-33377.369268809554,-4401.799
libe-501763,C.F.N.S,-5381.433932977121,0,5,4,-26907.169664885605,-4401.799
libe-501264,C.F.N.S,-3584.971907259864,0,6,4,-21509.831443559186,-4401.799
libe-501922,C.F.N.S,-4379.81246299744,0,7,4,-30658.687240982083,-4401.799
libe-501998,C.N.O.S,-4187.996014887638,0,7,4,-29315.972104213462,-4193.559
libe-501777,C.N.O.S,-4332.722188420967,0,7,4,-30329.055318946765,-4193.559
libe-501821,C.N.O.S,-4046.9210898752526,0,8,4,-32375.36871900202,-4193.559
libe-497494,C.F.S,-4004.230948922265,0,5,3,-20021.154744611325,-4004.462
libe-501983,C.F.N.O.S,-4088.071228313781,0,8,5,-32704.56982651025,-3843.7937
libe-501745,C.F.N.O.S,-4428.672842553909,0,7,5,-31000.70989787736,-3843.7937
libe-501831,C.F.N.O.S,-3509.605315203963,0,13,5,-45624.86909765152,-3843.7937
libe-502606,C.F.N.O.S,-3531.314007900993,0,11,5,-38844.454086910926,-3843.7937
libe-501738,C.F.N.O.S,-3509.716176005545,0,13,5,-45626.31028807208,-3843.7937
libe-501302,C.F.N.O.S,-4048.6162248171113,0,9,5,-36437.546023354,-3843.7937
libe-501301,C.F.N.O.S,-4048.6915146191945,0,9,5,-36438.22363157275,-3843.7937
libe-501577,C.F.N.O.S,-3684.724457539723,0,11,5,-40531.96903293696,-3843.7937
libe-502060,C.F.N.O.S,-3653.5695265264394,0,11,5,-40189.264791790825,-3843.7937
