id,smiles,label_y,y_pred
libe-501928,C.F.N.S,-4657.01239213601,-4409.5347
libe-501878,C.F.N.S,-4010.63645144968,-4409.5347
libe-501721,C.F.N.S,-4620.602485091679,-4409.5347
libe-501843,C.F.N.S,-4172.171158601194,-4409.5347
libe-501763,C.F.N.S,-5381.433932977121,-4409.5347
libe-501264,C.F.N.S,-3584.971907259864,-4409.5347
libe-501922,C.F.N.S,-4379.81246299744,-4409.5347
libe-501998,C.N.O.S,-4187.996014887638,-4185.25
libe-501777,C.N.O.S,-4332.722188420967,-4185.25
libe-501821,C.N.O.S,-4046.9210898752526,-4185.25
libe-497494,C.F.S,-4004.230948922265,-4004.7795
libe-501983,C.F.N.O.S,-4088.071228313781,-3849.5896
libe-501745,C.F.N.O.S,-4428.672842553909,-3849.5896
libe-501831,C.F.N.O.S,-3509.605315203963,-3849.5896
libe-502606,C.F.N.O.S,-3531.314007900993,-3849.5896
libe-501738,C.F.N.O.S,-3509.716176005545,-3849.5896
libe-501302,C.F.N.O.S,-4048.6162248171113,-3849.5896
libe-501301,C.F.N.O.S,-4048.6915146191945,-3849.5896
libe-501577,C.F.N.O.S,-3684.724457539723,-3849.5896
libe-502060,C.F.N.O.S,-3653.5695265264394,-3849.5896
