id,smiles,label_y,charge,number_atoms,heavy_atoms,free_energy_eV
libe-137146,C.F.O.[HH],-1201.8652515017573,0,10,3,-12018.652515017573
libe-192466,C.F.O.[HH],-1201.5561702678729,0,10,3,-12015.56170267873
libe-192666,C.F.O.[HH],-1201.4155773569996,0,10,3,-12014.155773569995
libe-192837,C.F.O.[HH],-1201.287735003993,0,10,3,-12012.877350039931
libe-192884,C.F.O.[HH],-1201.759957156734,0,10,3,-12017.599571567338
libe-192936,C.F.O.[HH],-1201.773763785385,0,10,3,-12017.73763785385
libe-192949,C.F.O.[HH],-1201.8100546182604,0,10,3,-12018.100546182604
libe-192950,C.F.O.[HH],-1201.6622557516196,0,10,3,-12016.622557516195
libe-117518,C.O.[HH].[LiH],-736.4148904529001,0,9,3,-6627.734014076101
libe-120543,C.O.[HH].[LiH],-736.324230018585,0,9,3,-6626.918070167265
libe-120573,C.O.[HH].[LiH],-736.3847643157842,0,9,3,-6627.462878842058
libe-120633,C.O.[HH].[LiH],-1070.1656721391728,0,10,3,-10701.656721391728
libe-120634,C.O.[HH].[LiH],-1070.320976785362,0,10,3,-10703.209767853621
libe-120646,C.O.[HH].[LiH],-1070.5694382582199,0,10,3,-10705.694382582198
libe-120649,C.O.[HH].[LiH],-1070.9064379361464,0,10,3,-10709.064379361464
libe-631182,C.O.[HH].[LiH],-1070.8649160864481,0,10,3,-10708.649160864481
libe-631186,C.O.[HH].[LiH],-1070.8546851236874,0,10,3,-10708.546851236875
libe-631203,C.O.[HH].[LiH],-1070.948742163579,0,10,3,-10709.487421635791
libe-510616,C.F.O.P.[HH],-1477.700302118913,0,17,4,-25120.90513602152
libe-514421,C.F.O.P.[HH],-1477.959856024854,0,17,4,-25125.317552422515
libe-515493,C.F.O.P.[HH],-1477.9869455931432,0,17,4,-25125.778075083435
libe-519172,C.F.O.P.[HH],-1477.8779293130033,0,17,4,-25123.924798321055
libe-522210,C.F.O.P.[HH],-1478.053431641505,0,17,4,-25126.908337905585
libe-523086,C.F.O.P.[HH],-1477.837303737696,0,17,4,-25123.23416354083
libe-523737,C.F.O.P.[HH],-1477.8197560289923,0,17,4,-25122.93585249287
libe-523908,C.F.O.P.[HH],-1477.9814172661534,0,17,4,-25125.684093524607
libe-527344,C.F.O.P.[HH],-1477.8689012345756,0,17,4,-25123.771320987784
libe-528815,C.F.O.P.[HH],-1477.9425186407932,0,17,4,-25125.022816893485
libe-536234,C.F.O.P.[HH],-1477.9370018584164,0,17,4,-25124.929031593078
libe-542397,C.F.O.P.[HH],-1477.9278553017114,0,17,4,-25124.773540129092
