family,best_y_pred,best_id,best_smiles,count,feedback_hits
CFNS,-4409.0767,libe-501928,C.F.N.S,7,7
CNOS,-4185.7383,libe-501998,C.N.O.S,3,3
CFS,-4003.9004,libe-497494,C.F.S,1,0
CFNOS,-3849.6526,libe-501983,C.F.N.O.S,38,10
CFOS,-3689.334,libe-497499,C.F.O.S,5,0
COSLiH,-3565.6514,libe-502690,C.O.S.[LiH],3,0
CFNOSLiH,-3452.418,libe-501598,C.F.N.O.S.[LiH],54,0
CFOSLiH,-3420.9587,libe-502113,C.F.O.S.[LiH],24,0
CNOSLiH,-3321.7822,libe-501862,C.N.O.S.[LiH],13,0
COP,-2989.4744,libe-529149,C.O.P,13,0
CFOP,-2903.0068,libe-518891,C.F.O.P,38,0
CFOPLiH,-2646.9246,libe-510541,C.F.O.P.[LiH],6,0
COPLiH,-2582.9275,libe-516810,C.O.P.[LiH],3,0
COPHH,-2137.9268,libe-526813,C.O.P.[HH],109,0
CFOPHHLiH,-1979.7578,libe-511246,C.F.O.P.[HH].[LiH],169,0
CFOPHH,-1915.4531,libe-522704,C.F.O.P.[HH],604,0
COPHHLiH,-1834.3307,libe-518936,C.O.P.[HH].[LiH],30,0
CFO,-1705.0264,libe-136072,C.F.O,11,0
CFOLiH,-1473.9684,libe-135967,C.F.O.[LiH],87,0
CO,-1405.6884,libe-536383,C.O,19,0
COLiH,-1287.277,libe-658801,C.O.[LiH],119,0
CFOHHLiH,-1135.8809,libe-138182,C.F.O.[HH].[LiH],902,0
CFOHH,-1108.7526,libe-137146,C.F.O.[HH],342,0
COHHLiH,-884.0082,libe-631911,C.O.[HH].[LiH],1935,0
CFHHLiH,-846.42053,libe-224963,C.F.[HH].[LiH],15,0
CFHH,-838.22723,libe-640187,C.F.[HH],18,0
COHH,-834.4309,libe-658698,C.O.[HH],895,0
CHH,-526.98145,libe-117154,C.[HH],81,0
CHHLiH,-391.12845,libe-115811,C.[HH].[LiH],5,0
